"","voted","sex","age","unit","weight","race","educ"
"449",1,1,"(29,39]",0,4870.6975,2,1
"450",1,0,"(0,29]",0,3796.124,2,0
"451",0,1,"(0,29]",0,3967.5603,3,1
"452",1,1,"(79,100]",0,3112.6516,1,1
"453",1,1,"(59,69]",0,3390.5759,1,2
"454",0,0,"(39,49]",0,2874.6108,1,0
"455",0,0,"(0,29]",0,3343.3336,1,0
"456",1,1,"(69,79]",0,2644.8358,4,1
"457",0,0,"(0,29]",0,3557.9562,4,1
"458",0,0,"(39,49]",0,2689.3146,4,1
"459",0,0,"(29,39]",0,3031.9331,1,1
"460",1,0,"(0,29]",0,3250.4011,1,2
"461",1,1,"(0,29]",0,3704.1645,3,0
"462",NA,0,NA,0,3806.2403,1,1
"463",1,0,"(49,59]",0,3796.1404,1,2
"464",1,1,"(69,79]",0,3040.0729,1,2
"465",NA,1,"(39,49]",0,3989.9178,1,2
"466",NA,0,"(39,49]",0,3716.3302,1,2
"467",0,1,"(69,79]",0,3200.713,1,2
"468",0,0,"(39,49]",0,3435.8039,1,2
"469",1,1,"(39,49]",0,3057.2952,1,0
"470",0,1,"(0,29]",0,3455.8531,1,1
"471",0,1,"(0,29]",0,3371.79,1,0
"472",NA,1,"(49,59]",0,3232.8599,1,1
"473",NA,0,"(49,59]",0,3283.2543,1,0
"474",NA,0,"(29,39]",0,4392.0374,1,0
"475",1,0,"(39,49]",0,3716.3302,1,1
"476",0,1,"(39,49]",0,3989.9178,1,1
"477",0,0,"(29,39]",0,3175.1125,1,2
"478",0,1,"(39,49]",0,3397.3731,1,2
"479",0,0,"(49,59]",0,3512.3211,2,0
"480",NA,0,"(0,29]",0,3758.1551,1,1
"481",NA,1,"(0,29]",0,3725.7103,1,1
"482",1,0,"(29,39]",0,3540.3557,1,1
"483",NA,0,"(59,69]",0,3648.9739,1,2
"484",NA,1,"(49,59]",0,3737.8738,1,2
"485",1,0,"(59,69]",0,3965.4841,1,0
"486",1,1,"(59,69]",0,3300.8267,1,0
"487",1,0,"(59,69]",0,3347.5734,1,2
"488",1,1,"(69,79]",0,3425.0515,1,2
"489",0,1,"(49,59]",0,3259.2366,1,2
"490",0,0,"(49,59]",0,3310.0421,1,1
"491",1,0,"(49,59]",0,2965.3486,1,1
"492",1,0,"(39,49]",0,4239.2141,1,0
"493",0,1,"(29,39]",0,3643.062,1,1
"494",NA,1,NA,0,4712.8005,1,1
"495",0,1,"(29,39]",0,2605.5145,1,2
"496",0,1,"(0,29]",0,3058.698,1,0
"497",0,0,"(39,49]",0,3463.8363,1,2
"498",1,1,"(0,29]",0,3311.2379,1,0
"499",1,0,"(29,39]",0,2595.6167,1,0
"500",0,0,"(49,59]",0,3725.8359,2,0
"501",0,1,"(59,69]",0,3710.802,2,0
"502",0,0,"(49,59]",0,3725.8359,2,NA
"503",1,0,"(39,49]",0,3716.3302,1,0
"504",1,1,"(39,49]",0,3312.79,1,2
"505",0,1,"(49,59]",0,3942.4626,1,1
"506",1,0,"(49,59]",0,4136.7676,1,2
"507",1,1,"(39,49]",0,3369.8785,1,2
"508",1,1,"(49,59]",0,3621.8763,1,2
"509",1,0,"(49,59]",0,3862.5568,1,2
"510",1,0,"(49,59]",0,3858.0866,1,0
"511",1,1,"(49,59]",0,3785.6275,1,0
"512",1,0,"(0,29]",0,5526.0211,1,1
"513",NA,1,NA,0,3323.1758,1,NA
"514",1,1,"(49,59]",0,3158.0926,1,2
"515",1,0,"(0,29]",0,3701.5537,1,0
"516",1,1,"(79,100]",0,3014.5911,1,1
"517",NA,1,"(59,69]",0,3072.8377,1,2
"518",NA,1,"(0,29]",0,3354.3027,1,1
"519",NA,1,"(0,29]",0,3354.3027,1,1
"520",0,1,"(0,29]",0,3354.3027,1,0
"521",0,1,"(79,100]",0,3302.9468,1,2
"522",1,1,"(59,69]",0,3518.8629,2,0
"523",NA,1,"(59,69]",0,3846.012,1,0
"524",NA,0,"(49,59]",0,3796.1404,1,1
"525",NA,0,"(0,29]",0,5226.567,1,1
"526",1,0,"(59,69]",0,3678.7455,1,2
"527",1,1,"(49,59]",0,3768.3708,1,1
"528",1,1,"(49,59]",0,3017.9843,1,2
"529",1,0,"(49,59]",0,3577.8603,1,2
"530",1,0,"(79,100]",0,3383.9398,1,1
"531",NA,1,"(39,49]",0,3830.29,1,1
"532",1,0,"(49,59]",0,3630.4444,1,2
"533",1,1,"(0,29]",0,3878.2875,1,1
"534",1,1,"(39,49]",0,2892.3251,1,1
